params_id,dataset,algorithm,f1,precision,recall,support,predicted,files,estimator,smoothing,period,s_w,p_w,half_d_w,q,delay,errors
S1PNA_SW8_Q0.003,JMeter,FluxEV,0.19959201202490875,0.9867303609341825,0.1110248447204969,16744,1884,7,MOM,1,,8,5,2,0.003,7,0
S1PNA_SW8_Q0.003,Prometheus 27 指标,FluxEV,0.5322043309272626,0.9436377061284765,0.37061382310294827,10345,4063,27,MOM,1,,8,5,2,0.003,7,0
S1PNA_SW8_Q0.0035,JMeter,FluxEV,0.19957058507783143,0.9856839872746553,0.1110248447204969,16744,1886,7,MOM,1,,8,5,2,0.0035,7,0
S1PNA_SW8_Q0.0035,Prometheus 27 指标,FluxEV,0.5247633155149095,0.7861829409494404,0.39381343644272593,10345,5182,27,MOM,1,,8,5,2,0.0035,7,0
S1PNA_SW8_Q0.004,JMeter,FluxEV,0.221751112995548,0.9849340866290018,0.12494027711419016,16744,2124,7,MOM,1,,8,5,2,0.004,7,0
S1PNA_SW8_Q0.004,Prometheus 27 指标,FluxEV,0.5238860669967209,0.782258064516129,0.39381343644272593,10345,5208,27,MOM,1,,8,5,2,0.004,7,0
S1PNA_SW8_Q0.0045,JMeter,FluxEV,0.22172760996290405,0.9840075258701787,0.12494027711419016,16744,2126,7,MOM,1,,8,5,2,0.0045,7,0
S1PNA_SW8_Q0.0045,Prometheus 27 指标,FluxEV,0.47629625299584966,0.6024844720496895,0.39381343644272593,10345,6762,27,MOM,1,,8,5,2,0.0045,7,0
S1PNA_SW8_Q0.005,JMeter,FluxEV,0.2216923647538812,0.9826209488022546,0.12494027711419016,16744,2129,7,MOM,1,,8,5,2,0.005,7,0
S1PNA_SW8_Q0.005,Prometheus 27 指标,FluxEV,0.41087186727850333,0.42947501581277675,0.39381343644272593,10345,9486,27,MOM,1,,8,5,2,0.005,7,0
S1PNA_SW10_Q0.002,JMeter,FluxEV,0.1294353938852935,0.9830508474576272,0.0692785475394171,16744,1180,7,MOM,1,,10,5,2,0.002,7,0
S1PNA_SW10_Q0.002,Prometheus 27 指标,FluxEV,0.4842576545349509,0.9571795603768198,0.32411793136781053,10345,3503,27,MOM,1,,10,5,2,0.002,7,0
S1PNA_SW10_Q0.0025,JMeter,FluxEV,0.1293992972279547,0.9789029535864979,0.0692785475394171,16744,1185,7,MOM,1,,10,5,2,0.0025,7,0
S1PNA_SW10_Q0.0025,Prometheus 27 指标,FluxEV,0.5087433628318584,0.9505291005291006,0.3473175447075882,10345,3780,27,MOM,1,,10,5,2,0.0025,7,0
S1PNA_SW10_Q0.003,JMeter,FluxEV,0.17674873634436652,0.9824773413897281,0.09710941232680363,16744,1655,7,MOM,1,,10,5,2,0.003,7,0
S1PNA_SW10_Q0.003,Prometheus 27 指标,FluxEV,0.5073425585992658,0.9408222047656455,0.3473175447075882,10345,3819,27,MOM,1,,10,5,2,0.003,7,0
S1PNA_SW10_Q0.0035,JMeter,FluxEV,0.1767007172353836,0.9795180722891567,0.09710941232680363,16744,1660,7,MOM,1,,10,5,2,0.0035,7,0
S1PNA_SW10_Q0.0035,Prometheus 27 指标,FluxEV,0.5549274671388681,0.9391424619640387,0.39381343644272593,10345,4338,27,MOM,1,,10,5,2,0.0035,7,0
S1PNA_SW10_Q0.004,JMeter,FluxEV,0.17667191829195414,0.9777510523150932,0.09710941232680363,16744,1663,7,MOM,1,,10,5,2,0.004,7,0
S1PNA_SW10_Q0.004,Prometheus 27 指标,FluxEV,0.5236840413908349,0.7813578826237054,0.39381343644272593,10345,5214,27,MOM,1,,10,5,2,0.004,7,0
S1PNA_SW10_Q0.0045,JMeter,FluxEV,0.19944211994421202,0.9794520547945206,0.1110248447204969,16744,1898,7,MOM,1,,10,5,2,0.0045,7,0
S1PNA_SW10_Q0.0045,Prometheus 27 指标,FluxEV,0.4766027140851661,0.6034661531624944,0.39381343644272593,10345,6751,27,MOM,1,,10,5,2,0.0045,7,0
S1PNA_SW10_Q0.005,JMeter,FluxEV,0.19937794937794937,0.9763655462184874,0.1110248447204969,16744,1904,7,MOM,1,,10,5,2,0.005,7,0
S1PNA_SW10_Q0.005,Prometheus 27 指标,FluxEV,0.49677567941040995,0.6142674070909867,0.41701304978250364,10345,7023,27,MOM,1,,10,5,2,0.005,7,0
S1PNA_SW12_Q0.002,JMeter,FluxEV,0.1293992972279547,0.9789029535864979,0.0692785475394171,16744,1185,7,MOM,1,,12,5,2,0.002,7,0
S1PNA_SW12_Q0.002,Prometheus 27 指标,FluxEV,0.48439757295579305,0.9582737925121463,0.32411793136781053,10345,3499,27,MOM,1,,12,5,2,0.002,7,0
S1PNA_SW12_Q0.0025,JMeter,FluxEV,0.12936322069811532,0.9747899159663865,0.0692785475394171,16744,1190,7,MOM,1,,12,5,2,0.0025,7,0
S1PNA_SW12_Q0.0025,Prometheus 27 指标,FluxEV,0.5088514374734456,0.95128408790045,0.3473175447075882,10345,3777,27,MOM,1,,12,5,2,0.0025,7,0
S1PNA_SW12_Q0.003,JMeter,FluxEV,0.1767103189697332,0.9801084990958409,0.09710941232680363,16744,1659,7,MOM,1,,12,5,2,0.003,7,0
S1PNA_SW12_Q0.003,Prometheus 27 指标,FluxEV,0.5323521244098861,0.9445676274944568,0.37061382310294827,10345,4059,27,MOM,1,,12,5,2,0.003,7,0
S1PNA_SW12_Q0.0035,JMeter,FluxEV,0.1767007172353836,0.9795180722891567,0.09710941232680363,16744,1660,7,MOM,1,,12,5,2,0.0035,7,0
S1PNA_SW12_Q0.0035,Prometheus 27 指标,FluxEV,0.5254740100606218,0.7893819027320287,0.39381343644272593,10345,5161,27,MOM,1,,12,5,2,0.0035,7,0
S1PNA_SW12_Q0.004,JMeter,FluxEV,0.1806255759744132,0.9782736347621844,0.09949832775919733,16744,1703,7,MOM,1,,12,5,2,0.004,7,0
S1PNA_SW12_Q0.004,Prometheus 27 指标,FluxEV,0.5464217859404686,0.7922865013774105,0.41701304978250364,10345,5445,27,MOM,1,,12,5,2,0.004,7,0
S1PNA_SW12_Q0.0045,JMeter,FluxEV,0.2032972915105449,0.9798761609907121,0.11341376015289059,16744,1938,7,MOM,1,,12,5,2,0.0045,7,0
S1PNA_SW12_Q0.0045,Prometheus 27 指标,FluxEV,0.49780752365566583,0.6174323744096178,0.41701304978250364,10345,6987,27,MOM,1,,12,5,2,0.0045,7,0
S1PNA_SW12_Q0.005,JMeter,FluxEV,0.20326465078940326,0.9783616692426584,0.11341376015289059,16744,1941,7,MOM,1,,12,5,2,0.005,7,0
S1PNA_SW12_Q0.005,Prometheus 27 指标,FluxEV,0.49731973024381804,0.6159337521416334,0.41701304978250364,10345,7004,27,MOM,1,,12,5,2,0.005,7,0
S1PNA_SW5_Q0.006,JMeter,FluxEV,0.3815121560245792,0.7497374868743437,0.25585284280936454,16744,5714,7,MOM,1,,5,5,2,0.006,7,0
S1PNA_SW5_Q0.006,Prometheus 27 指标,FluxEV,0.4094678124528871,0.426418254134394,0.39381343644272593,10345,9554,27,MOM,1,,5,5,2,0.006,7,0
S1PNA_SW5_Q0.008,JMeter,FluxEV,0.4867914849961529,0.6297279362972794,0.3967391304347826,16744,10549,7,MOM,1,,5,5,2,0.008,7,0
S1PNA_SW5_Q0.008,Prometheus 27 指标,FluxEV,0.3435552052733396,0.2729239000512266,0.4635089415176414,10345,17569,27,MOM,1,,5,5,2,0.008,7,0
S1PNA_SW5_Q0.01,JMeter,FluxEV,0.4864350309376488,0.6285362853628537,0.3967391304347826,16744,10569,7,MOM,1,,5,5,2,0.01,7,0
S1PNA_SW5_Q0.01,Prometheus 27 指标,FluxEV,0.3563328033916269,0.28079064587973274,0.4874818753020783,10345,17960,27,MOM,1,,5,5,2,0.01,7,0
S1PNA_SW5_Q0.015,JMeter,FluxEV,0.5236842105263158,0.6472398030942335,0.43973960821786906,16744,11376,7,MOM,1,,5,5,2,0.015,7,0
S1PNA_SW5_Q0.015,Prometheus 27 指标,FluxEV,0.3525172655389851,0.2691563073160791,0.5106814886418559,10345,19628,27,MOM,1,,5,5,2,0.015,7,0
S1PNA_SW10_Q0.006,JMeter,FluxEV,0.2792245936949285,0.7741585233441911,0.17032967032967034,16744,3684,7,MOM,1,,10,5,2,0.006,7,0
S1PNA_SW10_Q0.006,Prometheus 27 指标,FluxEV,0.4284224638760614,0.4404737594445579,0.41701304978250364,10345,9794,27,MOM,1,,10,5,2,0.006,7,0
S1PNA_SW10_Q0.008,JMeter,FluxEV,0.45734986555123996,0.6103468899521531,0.3656832298136646,16744,10032,7,MOM,1,,10,5,2,0.008,7,0
